Date,Open,High,Low,Close,Adj Close,Volume ,Day
"Jan 24, 2023","4,001.74","4,023.92","3,989.79","4,016.95","4,016.95","3,320,430,000",274
"Jan 23, 2023","3,978.14","4,039.31","3,971.64","4,019.81","4,019.81","3,945,210,000",275
"Jan 20, 2023","3,909.04","3,972.96","3,897.86","3,972.61","3,972.61","4,013,360,000",276
"Jan 19, 2023","3,911.84","3,922.94","3,885.54","3,898.85","3,898.85","3,991,500,000",277
"Jan 18, 2023","4,002.25","4,014.16","3,926.59","3,928.86","3,928.86","4,298,710,000",278
"Jan 17, 2023","3,999.28","4,015.39","3,984.57","3,990.97","3,990.97","4,235,560,000",279
"Jan 13, 2023","3,960.60","4,003.95","3,947.67","3,999.09","3,999.09","3,939,700,000",280
"Jan 12, 2023","3,977.57","3,997.76","3,937.56","3,983.17","3,983.17","4,440,260,000",281
"Jan 11, 2023","3,932.35","3,970.07","3,928.54","3,969.61","3,969.61","4,303,360,000",282
"Jan 10, 2023","3,888.57","3,919.83","3,877.29","3,919.25","3,919.25","3,851,030,000",283
"Jan 09, 2023","3,910.82","3,950.57","3,890.42","3,892.09","3,892.09","4,311,770,000",284
"Jan 06, 2023","3,823.37","3,906.19","3,809.56","3,895.08","3,895.08","3,923,560,000",285
"Jan 05, 2023","3,839.74","3,839.74","3,802.42","3,808.10","3,808.10","3,893,450,000",286
"Jan 04, 2023","3,840.36","3,873.16","3,815.77","3,852.97","3,852.97","4,414,080,000",287
"Jan 03, 2023","3,853.29","3,878.46","3,794.33","3,824.14","3,824.14","3,959,140,000",288
"Dec 30, 2022","3,829.06","3,839.85","3,800.34","3,839.50","3,839.50","2,979,870,000",289
"Dec 29, 2022","3,805.45","3,858.19","3,805.45","3,849.28","3,849.28","3,003,680,000",290
"Dec 28, 2022","3,829.56","3,848.32","3,780.78","3,783.22","3,783.22","3,083,520,000",291
"Dec 27, 2022","3,843.34","3,846.65","3,813.22","3,829.25","3,829.25","3,030,300,000",292
"Dec 23, 2022","3,815.11","3,845.80","3,797.01","3,844.82","3,844.82","2,819,280,000",293
"Dec 22, 2022","3,853.26","3,853.26","3,764.49","3,822.39","3,822.39","3,956,950,000",294
"Dec 21, 2022","3,839.49","3,889.82","3,839.49","3,878.44","3,878.44","3,775,200,000",295
"Dec 20, 2022","3,810.47","3,838.24","3,795.62","3,821.62","3,821.62","3,985,370,000",296
"Dec 19, 2022","3,853.79","3,854.86","3,800.04","3,817.66","3,817.66","3,969,610,000",297
"Dec 16, 2022","3,890.91","3,890.91","3,827.91","3,852.36","3,852.36","7,493,660,000",298
"Dec 15, 2022","3,958.37","3,958.37","3,879.45","3,895.75","3,895.75","4,493,900,000",299
"Dec 14, 2022","4,015.54","4,053.76","3,965.65","3,995.32","3,995.32","4,472,340,000",300
"Dec 13, 2022","4,069.38","4,100.96","3,993.03","4,019.65","4,019.65","5,079,360,000",301
"Dec 12, 2022","3,939.29","3,990.71","3,935.30","3,990.56","3,990.56","3,904,130,000",302
"Dec 09, 2022","3,954.17","3,977.02","3,933.04","3,934.38","3,934.38","3,888,260,000",303
"Dec 08, 2022","3,947.79","3,974.19","3,935.83","3,963.51","3,963.51","4,006,900,000",304
"Dec 07, 2022","3,933.28","3,957.57","3,922.68","3,933.92","3,933.92","4,118,050,000",305
"Dec 06, 2022","3,996.63","4,001.51","3,918.39","3,941.26","3,941.26","4,368,380,000",306
"Dec 05, 2022","4,052.02","4,052.45","3,984.49","3,998.84","3,998.84","4,280,820,000",307
"Dec 02, 2022","4,040.17","4,080.48","4,026.63","4,071.70","4,071.70","4,012,620,000",308
"Dec 01, 2022","4,087.14","4,100.51","4,050.87","4,076.57","4,076.57","4,527,130,000",309
"Nov 30, 2022","3,957.18","4,080.11","3,938.58","4,080.11","4,080.11","6,579,360,000",310
"Nov 29, 2022","3,964.19","3,976.77","3,937.65","3,957.63","3,957.63","3,546,040,000",311
"Nov 28, 2022","4,005.36","4,012.27","3,955.77","3,963.94","3,963.94","3,615,430,000",312
"Nov 25, 2022","4,023.34","4,034.02","4,020.76","4,026.12","4,026.12","1,706,460,000",313
"Nov 23, 2022","4,000.30","4,033.78","3,998.66","4,027.26","4,027.26","3,279,720,000",314
"Nov 22, 2022","3,965.51","4,005.88","3,956.88","4,003.58","4,003.58","3,887,990,000",315
"Nov 21, 2022","3,956.23","3,962.00","3,933.34","3,949.94","3,949.94","3,850,690,000",316
"Nov 18, 2022","3,966.39","3,979.89","3,935.98","3,965.34","3,965.34","4,037,360,000",317
"Nov 17, 2022","3,919.26","3,954.33","3,906.54","3,946.56","3,946.56","4,051,780,000",318
"Nov 16, 2022","3,976.82","3,983.09","3,954.34","3,958.79","3,958.79","4,165,320,000",319
"Nov 15, 2022","4,006.41","4,028.84","3,953.17","3,991.73","3,991.73","5,015,310,000",320
"Nov 14, 2022","3,977.97","4,008.97","3,956.40","3,957.25","3,957.25","4,561,930,000",321
"Nov 11, 2022","3,963.72","4,001.48","3,944.82","3,992.93","3,992.93","5,593,310,000",322
"Nov 10, 2022","3,859.89","3,958.33","3,859.89","3,956.37","3,956.37","5,781,260,000",323
"Nov 09, 2022","3,810.94","3,818.20","3,744.22","3,748.57","3,748.57","4,645,010,000",324
"Nov 08, 2022","3,817.02","3,859.40","3,786.28","3,828.11","3,828.11","4,607,640,000",325
"Nov 07, 2022","3,780.71","3,813.95","3,764.70","3,806.80","3,806.80","4,341,620,000",326
"Nov 04, 2022","3,766.98","3,796.34","3,708.84","3,770.55","3,770.55","5,400,180,000",327
"Nov 03, 2022","3,733.25","3,750.59","3,698.15","3,719.89","3,719.89","4,625,290,000",328
"Nov 02, 2022","3,852.90","3,894.44","3,758.68","3,759.69","3,759.69","4,899,000,000",329
"Nov 01, 2022","3,901.79","3,911.79","3,843.80","3,856.10","3,856.10","4,481,210,000",330
"Oct 31, 2022","3,881.85","3,893.73","3,863.18","3,871.98","3,871.98","4,820,620,000",331
"Oct 28, 2022","3,808.26","3,905.42","3,808.26","3,901.06","3,901.06","4,459,410,000",332
"Oct 27, 2022","3,834.69","3,859.95","3,803.79","3,807.30","3,807.30","4,687,320,000",333
"Oct 26, 2022","3,825.97","3,886.15","3,824.07","3,830.60","3,830.60","4,817,310,000",334
"Oct 25, 2022","3,799.44","3,862.85","3,799.44","3,859.11","3,859.11","4,843,120,000",335
"Oct 24, 2022","3,762.01","3,810.74","3,741.65","3,797.34","3,797.34","4,747,930,000",336
"Oct 21, 2022","3,657.10","3,757.89","3,647.42","3,752.75","3,752.75","5,078,020,000",337
"Oct 20, 2022","3,689.05","3,736.00","3,656.44","3,665.78","3,665.78","4,496,620,000",338
"Oct 19, 2022","3,703.11","3,728.58","3,666.51","3,695.16","3,695.16","4,223,800,000",339
"Oct 18, 2022","3,746.26","3,762.79","3,686.53","3,719.98","3,719.98","4,483,740,000",340
"Oct 17, 2022","3,638.65","3,689.73","3,638.65","3,677.95","3,677.95","4,352,780,000",341
"Oct 14, 2022","3,690.41","3,712.00","3,579.68","3,583.07","3,583.07","4,243,030,000",342
"Oct 13, 2022","3,520.37","3,685.41","3,491.58","3,669.91","3,669.91","5,021,680,000",343
"Oct 12, 2022","3,590.83","3,608.34","3,573.86","3,577.03","3,577.03","4,006,830,000",344
"Oct 11, 2022","3,595.86","3,640.66","3,568.45","3,588.84","3,588.84","4,759,030,000",345
"Oct 10, 2022","3,647.51","3,652.17","3,588.10","3,612.39","3,612.39","3,834,320,000",346
"Oct 07, 2022","3,706.74","3,706.74","3,620.73","3,639.66","3,639.66","4,449,660,000",347
"Oct 06, 2022","3,771.97","3,797.93","3,739.22","3,744.52","3,744.52","4,252,100,000",348
"Oct 05, 2022","3,753.25","3,806.91","3,722.66","3,783.28","3,783.28","4,293,180,000",349
"Oct 04, 2022","3,726.46","3,791.92","3,726.46","3,790.93","3,790.93","5,146,580,000",350
"Oct 03, 2022","3,609.78","3,698.35","3,604.93","3,678.43","3,678.43","4,806,680,000",351
"Sep 30, 2022","3,633.48","3,671.44","3,584.13","3,585.62","3,585.62","5,645,360,000",352
"Sep 29, 2022","3,687.01","3,687.01","3,610.40","3,640.47","3,640.47","4,681,810,000",353
"Sep 28, 2022","3,651.94","3,736.74","3,640.61","3,719.04","3,719.04","4,684,850,000",354
"Sep 27, 2022","3,686.44","3,717.53","3,623.29","3,647.29","3,647.29","4,577,740,000",355
"Sep 26, 2022","3,682.72","3,715.67","3,644.76","3,655.04","3,655.04","4,886,140,000",356
"Sep 23, 2022","3,727.14","3,727.14","3,647.47","3,693.23","3,693.23","5,144,270,000",357
"Sep 22, 2022","3,782.36","3,790.90","3,749.45","3,757.99","3,757.99","4,284,600,000",358
"Sep 21, 2022","3,871.40","3,907.07","3,789.49","3,789.93","3,789.93","4,078,330,000",359
"Sep 20, 2022","3,875.23","3,876.01","3,827.54","3,855.93","3,855.93","4,058,050,000",360
"Sep 19, 2022","3,849.91","3,900.45","3,838.50","3,899.89","3,899.89","3,766,850,000",361
"Sep 16, 2022","3,880.95","3,880.95","3,837.08","3,873.33","3,873.33","7,954,650,000",362
"Sep 15, 2022","3,932.41","3,959.14","3,888.28","3,901.35","3,901.35","4,441,830,000",363
"Sep 14, 2022","3,940.73","3,961.94","3,912.18","3,946.01","3,946.01","4,293,240,000",364
"Sep 13, 2022","4,037.12","4,037.12","3,921.28","3,932.69","3,932.69","4,224,550,000",365
"Sep 12, 2022","4,083.67","4,119.28","4,083.67","4,110.41","4,110.41","3,814,200,000",366
"Sep 09, 2022","4,022.94","4,076.81","4,022.94","4,067.36","4,067.36","3,901,940,000",367
"Sep 08, 2022","3,959.94","4,010.50","3,944.81","4,006.18","4,006.18","3,966,850,000",368
"Sep 07, 2022","3,909.43","3,987.89","3,906.03","3,979.87","3,979.87","3,890,320,000",369
"Sep 06, 2022","3,930.89","3,942.55","3,886.75","3,908.19","3,908.19","4,127,340,000",370
"Sep 02, 2022","3,994.66","4,018.43","3,906.21","3,924.26","3,924.26","3,665,850,000",371
"Sep 01, 2022","3,936.73","3,970.23","3,903.65","3,966.85","3,966.85","4,152,250,000",372
"Aug 31, 2022","4,000.67","4,015.37","3,954.53","3,955.00","3,955.00","4,542,490,000",373
"Aug 30, 2022","4,041.25","4,044.98","3,965.21","3,986.16","3,986.16","3,835,860,000",374
"Aug 29, 2022","4,034.58","4,062.99","4,017.42","4,030.61","4,030.61","3,396,510,000",375
"Aug 26, 2022","4,198.74","4,203.04","4,057.66","4,057.66","4,057.66","3,832,750,000",376
"Aug 25, 2022","4,153.26","4,200.54","4,147.59","4,199.12","4,199.12","3,566,870,000",377
"Aug 24, 2022","4,126.55","4,156.56","4,119.97","4,140.77","4,140.77","3,583,630,000",378
"Aug 23, 2022","4,133.09","4,159.77","4,124.03","4,128.73","4,128.73","3,823,520,000",379
"Aug 22, 2022","4,195.08","4,195.08","4,129.86","4,137.99","4,137.99","3,907,430,000",380
"Aug 19, 2022","4,266.31","4,266.31","4,218.70","4,228.48","4,228.48","3,761,340,000",381
"Aug 18, 2022","4,273.13","4,292.53","4,261.98","4,283.74","4,283.74","3,340,330,000",382
"Aug 17, 2022","4,280.40","4,302.18","4,253.08","4,274.04","4,274.04","3,885,030,000",383
"Aug 16, 2022","4,290.46","4,325.28","4,277.77","4,305.20","4,305.20","4,329,820,000",384
"Aug 15, 2022","4,269.37","4,301.79","4,256.90","4,297.14","4,297.14","3,696,830,000",385
"Aug 12, 2022","4,225.02","4,280.47","4,219.78","4,280.15","4,280.15","3,788,010,000",386
"Aug 11, 2022","4,227.40","4,257.91","4,201.41","4,207.27","4,207.27","4,630,200,000",387
"Aug 10, 2022","4,181.02","4,211.03","4,177.26","4,210.24","4,210.24","4,546,010,000",388
"Aug 09, 2022","4,133.11","4,137.30","4,112.09","4,122.47","4,122.47","3,913,090,000",389
"Aug 08, 2022","4,155.93","4,186.62","4,128.97","4,140.06","4,140.06","4,221,090,000",390
"Aug 05, 2022","4,115.87","4,151.58","4,107.31","4,145.19","4,145.19","4,085,940,000",391
"Aug 04, 2022","4,154.85","4,161.29","4,135.42","4,151.94","4,151.94","4,283,320,000",392
"Aug 03, 2022","4,107.96","4,167.66","4,107.96","4,155.17","4,155.17","4,351,760,000",393
"Aug 02, 2022","4,104.21","4,140.47","4,079.81","4,091.19","4,091.19","4,727,710,000",394
"Aug 01, 2022","4,112.38","4,144.95","4,096.02","4,118.63","4,118.63","4,202,810,000",395
"Jul 29, 2022","4,087.33","4,140.15","4,079.22","4,130.29","4,130.29","4,616,360,000",396
"Jul 28, 2022","4,026.13","4,078.95","3,992.97","4,072.43","4,072.43","4,413,000,000",397
"Jul 27, 2022","3,951.43","4,039.56","3,951.43","4,023.61","4,023.61","4,112,180,000",398
"Jul 26, 2022","3,953.22","3,953.22","3,910.74","3,921.05","3,921.05","3,778,950,000",399
"Jul 25, 2022","3,965.72","3,975.30","3,943.46","3,966.84","3,966.84","3,568,340,000",400
"Jul 22, 2022","3,998.43","4,012.44","3,938.86","3,961.63","3,961.63","3,979,240,000",401
"Jul 21, 2022","3,955.47","3,999.29","3,927.64","3,998.95","3,998.95","4,132,790,000",402
"Jul 20, 2022","3,935.32","3,974.13","3,922.03","3,959.90","3,959.90","4,185,300,000",403
"Jul 19, 2022","3,860.73","3,939.81","3,860.73","3,936.69","3,936.69","4,041,070,000",404
"Jul 18, 2022","3,883.79","3,902.44","3,818.63","3,830.85","3,830.85","4,046,870,000",405
"Jul 15, 2022","3,818.00","3,863.62","3,817.18","3,863.16","3,863.16","4,143,800,000",406
"Jul 14, 2022","3,763.99","3,796.41","3,721.56","3,790.38","3,790.38","4,199,690,000",407
"Jul 13, 2022","3,779.67","3,829.44","3,759.07","3,801.78","3,801.78","4,109,390,000",408
"Jul 12, 2022","3,851.95","3,873.41","3,802.36","3,818.80","3,818.80","3,817,210,000",409
"Jul 11, 2022","3,880.94","3,880.94","3,847.22","3,854.43","3,854.43","3,423,480,000",410
"Jul 08, 2022","3,888.26","3,918.50","3,869.34","3,899.38","3,899.38","3,521,620,000",411
"Jul 07, 2022","3,858.85","3,910.63","3,858.85","3,902.62","3,902.62","4,057,770,000",412
"Jul 06, 2022","3,831.98","3,870.91","3,809.37","3,845.08","3,845.08","4,417,720,000",413
"Jul 05, 2022","3,792.61","3,832.19","3,742.06","3,831.39","3,831.39","5,076,590,000",414
"Jul 01, 2022","3,781.00","3,829.82","3,752.10","3,825.33","3,825.33","4,046,950,000",415
"Jun 30, 2022","3,785.99","3,818.99","3,738.67","3,785.38","3,785.38","4,840,070,000",416
"Jun 29, 2022","3,825.09","3,836.50","3,799.02","3,818.83","3,818.83","4,211,240,000",417
"Jun 28, 2022","3,913.00","3,945.86","3,820.14","3,821.55","3,821.55","4,270,120,000",418
"Jun 27, 2022","3,920.76","3,927.72","3,889.66","3,900.11","3,900.11","4,325,310,000",419
"Jun 24, 2022","3,821.75","3,913.65","3,821.75","3,911.74","3,911.74","8,120,260,000",420
"Jun 23, 2022","3,774.71","3,802.58","3,743.52","3,795.73","3,795.73","5,098,640,000",421
"Jun 22, 2022","3,733.89","3,801.79","3,717.69","3,759.89","3,759.89","5,058,990,000",422
"Jun 21, 2022","3,715.31","3,779.65","3,715.31","3,764.79","3,764.79","5,292,260,000",423
"Jun 17, 2022","3,665.90","3,707.71","3,636.87","3,674.84","3,674.84","8,520,740,000",424
"Jun 16, 2022","3,728.18","3,728.18","3,639.77","3,666.77","3,666.77","5,644,930,000",425
"Jun 15, 2022","3,764.05","3,837.56","3,722.30","3,789.99","3,789.99","5,530,480,000",426
"Jun 14, 2022","3,763.52","3,778.18","3,705.68","3,735.48","3,735.48","5,153,890,000",427
"Jun 13, 2022","3,838.15","3,838.15","3,734.30","3,749.63","3,749.63","5,636,890,000",428
"Jun 10, 2022","3,974.39","3,974.39","3,900.16","3,900.86","3,900.86","4,889,640,000",429
"Jun 09, 2022","4,101.65","4,119.10","4,017.17","4,017.82","4,017.82","4,134,170,000",430
"Jun 08, 2022","4,147.12","4,160.14","4,107.20","4,115.77","4,115.77","4,159,470,000",431
"Jun 07, 2022","4,096.47","4,164.86","4,080.19","4,160.68","4,160.68","4,248,210,000",432
"Jun 06, 2022","4,134.72","4,168.78","4,109.18","4,121.43","4,121.43","4,332,700,000",433
"Jun 03, 2022","4,137.57","4,142.67","4,098.67","4,108.54","4,108.54","3,711,110,000",434
"Jun 02, 2022","4,095.41","4,177.51","4,074.37","4,176.82","4,176.82","4,405,790,000",435
"Jun 01, 2022","4,149.78","4,166.54","4,073.85","4,101.23","4,101.23","4,531,800,000",436
"May 31, 2022","4,151.09","4,168.34","4,104.88","4,132.15","4,132.15","6,822,640,000",437
"May 27, 2022","4,077.43","4,158.49","4,077.43","4,158.24","4,158.24","4,375,620,000",438
"May 26, 2022","3,984.60","4,075.14","3,984.60","4,057.84","4,057.84","4,709,970,000",439
"May 25, 2022","3,929.59","3,999.33","3,925.03","3,978.73","3,978.73","4,802,560,000",440
"May 24, 2022","3,942.94","3,955.68","3,875.13","3,941.48","3,941.48","4,923,190,000",441
"May 23, 2022","3,919.42","3,981.88","3,909.04","3,973.75","3,973.75","4,420,030,000",442
"May 20, 2022","3,927.76","3,943.42","3,810.32","3,901.36","3,901.36","5,130,730,000",443
"May 19, 2022","3,899.00","3,945.96","3,876.58","3,900.79","3,900.79","5,113,550,000",444
"May 18, 2022","4,051.98","4,051.98","3,911.91","3,923.68","3,923.68","5,103,220,000",445
"May 17, 2022","4,052.00","4,090.72","4,033.93","4,088.85","4,088.85","4,841,410,000",446
"May 16, 2022","4,013.02","4,046.46","3,983.99","4,008.01","4,008.01","4,415,030,000",447
"May 13, 2022","3,963.90","4,038.88","3,963.90","4,023.89","4,023.89","5,183,340,000",448
"May 12, 2022","3,903.95","3,964.80","3,858.87","3,930.08","3,930.08","6,286,450,000",449
"May 11, 2022","3,990.08","4,049.09","3,928.82","3,935.18","3,935.18","5,816,140,000",450
"May 10, 2022","4,035.18","4,068.82","3,958.17","4,001.05","4,001.05","5,885,820,000",451
"May 09, 2022","4,081.27","4,081.27","3,975.48","3,991.24","3,991.24","5,954,520,000",452
"May 06, 2022","4,128.17","4,157.69","4,067.91","4,123.34","4,123.34","5,116,940,000",453
"May 05, 2022","4,270.43","4,270.43","4,106.01","4,146.87","4,146.87","5,077,030,000",454
"May 04, 2022","4,181.18","4,307.66","4,148.91","4,300.17","4,300.17","5,136,360,000",455
"May 03, 2022","4,159.78","4,200.10","4,147.08","4,175.48","4,175.48","4,582,050,000",456
"May 02, 2022","4,130.61","4,169.81","4,062.51","4,155.38","4,155.38","5,163,790,000",457
"Apr 29, 2022","4,253.75","4,269.68","4,124.28","4,131.93","4,131.93","5,084,030,000",458
"Apr 28, 2022","4,222.58","4,308.45","4,188.63","4,287.50","4,287.50","4,854,180,000",459
"Apr 27, 2022","4,186.52","4,240.71","4,162.90","4,183.96","4,183.96","4,769,680,000",460
"Apr 26, 2022","4,278.14","4,278.14","4,175.04","4,175.20","4,175.20","4,689,970,000",461
"Apr 25, 2022","4,255.34","4,299.02","4,200.82","4,296.12","4,296.12","5,240,040,000",462
"Apr 22, 2022","4,385.83","4,385.83","4,267.62","4,271.78","4,271.78","4,651,940,000",463
"Apr 21, 2022","4,489.17","4,512.94","4,384.47","4,393.66","4,393.66","4,636,890,000",464
"Apr 20, 2022","4,472.26","4,488.29","4,448.76","4,459.45","4,459.45","4,290,450,000",465
"Apr 19, 2022","4,390.63","4,471.03","4,390.63","4,462.21","4,462.21","4,108,120,000",466
"Apr 18, 2022","4,385.63","4,410.31","4,370.30","4,391.69","4,391.69","3,910,490,000",467
"Apr 14, 2022","4,449.12","4,460.46","4,390.77","4,392.59","4,392.59","4,083,090,000",468
"Apr 13, 2022","4,394.30","4,453.92","4,392.70","4,446.59","4,446.59","3,828,150,000",469
"Apr 12, 2022","4,437.59","4,471.00","4,381.34","4,397.45","4,397.45","4,152,090,000",470
"Apr 11, 2022","4,462.64","4,464.35","4,408.38","4,412.53","4,412.53","4,266,290,000",471
"Apr 08, 2022","4,494.15","4,520.41","4,474.60","4,488.28","4,488.28","4,083,200,000",472
"Apr 07, 2022","4,474.65","4,521.16","4,450.30","4,500.21","4,500.21","4,821,490,000",473
"Apr 06, 2022","4,494.17","4,503.94","4,450.04","4,481.15","4,481.15","4,986,830,000",474
"Apr 05, 2022","4,572.45","4,593.45","4,514.17","4,525.12","4,525.12","4,800,620,000",475
"Apr 04, 2022","4,547.97","4,583.50","4,539.21","4,582.64","4,582.64","4,547,350,000",476
"Apr 01, 2022","4,540.32","4,548.70","4,507.57","4,545.86","4,545.86","4,562,940,000",477
"Mar 31, 2022","4,599.02","4,603.07","4,530.41","4,530.41","4,530.41","4,823,020,000",478
"Mar 30, 2022","4,624.20","4,627.77","4,581.32","4,602.45","4,602.45","4,385,570,000",479
"Mar 29, 2022","4,602.86","4,637.30","4,589.66","4,631.60","4,631.60","5,085,910,000",480
"Mar 28, 2022","4,541.09","4,575.65","4,517.69","4,575.52","4,575.52","4,312,260,000",481
"Mar 25, 2022","4,522.91","4,546.03","4,501.07","4,543.06","4,543.06","4,305,020,000",482
"Mar 24, 2022","4,469.98","4,520.58","4,465.17","4,520.16","4,520.16","4,131,390,000",483
"Mar 23, 2022","4,493.10","4,501.07","4,455.81","4,456.24","4,456.24","4,550,670,000",484
"Mar 22, 2022","4,469.10","4,522.00","4,469.10","4,511.61","4,511.61","4,754,840,000",485
"Mar 21, 2022","4,462.40","4,481.75","4,424.30","4,461.18","4,461.18","4,869,820,000",486
"Mar 18, 2022","4,407.34","4,465.40","4,390.57","4,463.12","4,463.12","8,278,430,000",487
"Mar 17, 2022","4,345.11","4,412.67","4,335.65","4,411.67","4,411.67","4,985,090,000",488
"Mar 16, 2022","4,288.14","4,358.90","4,251.99","4,357.86","4,357.86","6,309,750,000",489
"Mar 15, 2022","4,188.82","4,271.05","4,187.90","4,262.45","4,262.45","5,392,470,000",490
"Mar 14, 2022","4,202.75","4,247.57","4,161.72","4,173.11","4,173.11","5,574,920,000",491
"Mar 11, 2022","4,279.50","4,291.01","4,200.49","4,204.31","4,204.31","4,938,640,000",492
"Mar 10, 2022","4,252.55","4,268.28","4,209.80","4,259.52","4,259.52","4,980,830,000",493
"Mar 09, 2022","4,223.10","4,299.40","4,223.10","4,277.88","4,277.88","5,662,670,000",494
"Mar 08, 2022","4,202.66","4,276.94","4,157.87","4,170.70","4,170.70","7,243,120,000",495
